case_id,gender,money
BER-L-13231-04,0,1500000.0
MID-L-4430-05,1,3000000.0
04-00884,0,1038.3
SAL-L-43-04,0,600000.0
05-01749,1,75000.0
05-03951,1,-1.0
BUR-L-748-04,0,224627.84
UNN-L-3463-03,1,48107.05
MID-L-005468-04,0,98000.0
05-02682,1,-1.0
04-06009,1,-1.0
03-3979,1,-1.0
CAM-L-2026-04,0,410000.0
04-05754,1,-1.0
04-04541,1,-1.0
05-00540,0,-1.0
ESX-L-8362-04,0,600000.0
06-02178,1,-1.0
04-06047,1,30000.0
CAM-L-522210,0,5000000.0
05-00616,1,-1.0
05-01254,0,-1.0
05-04261,1,-1.0
04-02146,1,97500.0
MRS-L-658-05,0,3500000.0
02-03566,1,105000.0
05-00331,0,153500.0
04-00488,0,-1.0
05-04211,1,77000.0
04-04432,1,400000.0
05-03231,1,-1.0
MON-L-647-04,1,550000.0
BER-L-14309-04,0,490000.0
06-00989,1,107000.0
CUM-L-387-04,-1,-1.0
ATL-L-2787-03,0,1125000.0
L-3558-04,1,1500000.0
05-00671,1,-1.0
MON-L-2251-3,0,50000.0
03-02948,1,1000000.0
MID-L-004535-03,1,-1.0
L-682-06,0,325000.0
CAM-L-1839-03,1,2750000.0
MRS-L-2145-04; MRS-L-616-05; MRS-L-782-05,1,1200000.0
L 000906 90,0,1294117.0
BUR-L-002853-03,0,23925.0
03-04624,1,1200.0
L 005316 95,0,512500.0
05-03021,1,-1.0
04-01261,0,-1.0
BUR-L-838-05,1,85000.0
BER-L-1048-05,1,120000.0
06-02775,0,66500.0
06-00065,1,-1.0
OCE-L-001252-04,0,-1.0
03-02918,0,-1.0
05-01351,1,1000.0
MID-L-734-04,1,100000.0
SOM-L-1094-04,0,725000.0
L 007120 93,0,25000.0
SSX-L-723-04,0,1330513.0
04-01283,0,-1.0
05-01364,1,35000.0
04-00237,0,25000.0
L-6458-95,1,6930000.0
L-3150-03,1,2100000.0
BUR-L-003587-03,1,665000.0
05-04720,1,-1.0
03-05960,1,-1.0
BUR-L-2745-04,1,24800.0
MID-L-2605-05,1,650000.0
97-3365,0,10000000.0
04-01985,1,70000.0
05-04744,1,-1.0
BUR-L-000500-05,0,395768.84
05-04559,-1,-1.0
04-05349,1,-1.0
04-03726,0,20000.0
MID-L-002032-04,1,-1.0
05-03586,0,-1.0
04-04250,0,-1.0
04-03422,1,-1.0
CUM-L-000034-06,1,71226.0
HUD-L-6537-04,0,375000.0
06-01519,1,-1.0
03-01959,1,-1.0
05-04400,0,-1.0
04-02097,0,-1.0
L 010370 91,1,-1.0
05-04381,1,-1.0
BER-L-010419-04,1,80000.0
BER-L-003787-05,1,-1.0
04-03120,-1,1000.0
ESX-L-8260-05,0,465000.0
BUR-L-429-04,0,150000.0
03-04452,0,175000.0
BER-L-6797-90,1,150000.0
MID-L-141-04,1,150000.0
BER-L-14465-04,1,-1.0
04-03956,0,-1.0
06-02234,1,30000.0
CAM-L-7938-05,0,7600000.0
HUD-L-3464-03,1,2500.0
06-00155,1,-1.0
BER-L-1399-05,1,315000.0
BER-L-5704-05,1,350000.0
MER-L-1955-05,-1,1539095.18
05-01431,1,-1.0
03-03930,0,-1.0
ESX-L-2337-05,0,500000.0
04-06101,0,-1.0
MID-L-8762-04,1,11250000.0
MON-L-5046-3,1,100000.0
HNT-L-515--04,0,1475000.0
ATL-L-3885-04,1,250000.0
BER-L-007449-03,1,-1.0
MID-L-3009-04,1,4250000.0
MID-L-10179-02,0,10600000.0
06-01366,0,-1.0
06-02702,0,-1.0
OCN-L-3430-04,1,502685.0
MID-L-677-02,1,31250000.0
BER-L-14531-04,1,525000.0
CAM-L-88703,0,300000.0
BUR-L-1934-05,1,1000000.0
BER-L-2275-06,1,1000000.0
05-05380,0,-1.0
BER-L-013245,1,10000.0
MER-L-0240-01,0,445000.0
ATL-L-001199-04,0,64800.0
05-00920,0,-1.0
04-06108,1,-1.0
ESX-L-298-03,0,2000000.0
BER-L-8664-04,0,900000.0
UNN-L-3206-05,1,250000.0
L-003047-04,0,95000.0
SOM-L-1978-98,1,2500000.0
04-04044,0,40000.0
PAS-L-112-06,0,500000.0
ATL-1407-04,1,5820304.0
BUR-L-2978-04,1,-1.0
ESX-L-3896-02,0,240000.0
BER-L-14399-04,0,650000.0
WAR-L-602-02,0,-1.0
06-0076,0,30000.0
MER-L-264-05,1,370000.0
PAS-L-004197-04,1,17500.0
04-03167,1,-1.0
04-04974,0,-1.0
L 001646 94,1,-1.0
BUR-L-3561-03,1,850000.0
